Category: All categories

Month,big data: (Worldwide),data science: (Worldwide),machine learning: (Worldwide)
2004-01,4,12,24
2004-02,9,14,28
2004-03,5,12,28
2004-04,6,10,24
2004-05,4,10,24
2004-06,5,10,22
2004-07,5,7,24
2004-08,6,8,18
2004-09,5,12,22
2004-10,5,11,24
2004-11,6,9,18
2004-12,4,9,17
2005-01,5,10,19
2005-02,5,9,22
2005-03,6,11,20
2005-04,4,9,17
2005-05,5,9,21
2005-06,5,10,16
2005-07,4,6,18
2005-08,5,8,14
2005-09,5,9,16
2005-10,6,9,16
2005-11,4,9,17
2005-12,4,6,16
2006-01,4,9,16
2006-02,4,8,17
2006-03,4,7,17
2006-04,5,8,16
2006-05,4,7,14
2006-06,5,6,13
2006-07,5,6,11
2006-08,3,5,12
2006-09,4,8,14
2006-10,3,7,15
2006-11,4,8,14
2006-12,4,5,12
2007-01,4,6,14
2007-02,4,7,14
2007-03,4,7,14
2007-04,3,6,14
2007-05,4,6,14
2007-06,4,7,11
2007-07,4,5,13
2007-08,4,6,12
2007-09,4,7,13
2007-10,4,7,14
2007-11,4,6,15
2007-12,3,5,13
2008-01,4,7,12
2008-02,4,8,12
2008-03,4,6,12
2008-04,4,7,13
2008-05,4,5,11
2008-06,4,6,10
2008-07,4,6,10
2008-08,4,6,9
2008-09,6,7,11
2008-10,5,7,13
2008-11,5,6,13
2008-12,4,5,11
2009-01,4,7,10
2009-02,5,6,11
2009-03,5,7,11
2009-04,4,7,13
2009-05,4,6,11
2009-06,4,5,11
2009-07,4,6,10
2009-08,5,5,10
2009-09,5,8,12
2009-10,5,7,12
2009-11,5,7,13
2009-12,5,6,11
2010-01,5,8,11
2010-02,5,8,12
2010-03,5,7,12
2010-04,6,7,12
2010-05,5,6,11
2010-06,6,6,11
2010-07,5,5,10
2010-08,5,6,11
2010-09,5,8,12
2010-10,5,7,12
2010-11,5,7,13
2010-12,5,6,12
2011-01,6,7,11
2011-02,6,7,12
2011-03,7,7,12
2011-04,6,6,12
2011-05,8,6,12
2011-06,8,6,10
2011-07,7,5,10
2011-08,8,6,11
2011-09,9,9,13
2011-10,11,7,17
2011-11,12,8,16
2011-12,12,6,14
2012-01,15,8,13
2012-02,18,8,15
2012-03,20,8,15
2012-04,22,7,15
2012-05,23,7,15
2012-06,23,7,14
2012-07,24,6,14
2012-08,26,8,14
2012-09,30,11,16
2012-10,36,9,16
2012-11,35,9,16
2012-12,33,7,15
2013-01,38,9,16
2013-02,42,9,16
2013-03,48,9,16
2013-04,52,10,17
2013-05,51,10,17
2013-06,51,10,15
2013-07,50,9,16
2013-08,50,10,15
2013-09,56,14,18
2013-10,59,12,21
2013-11,60,12,20
2013-12,52,12,18
2014-01,60,15,19
2014-02,67,14,21
2014-03,69,14,22
2014-04,69,15,23
2014-05,67,14,21
2014-06,67,14,20
2014-07,70,14,21
2014-08,69,18,22
2014-09,78,21,24
2014-10,82,19,26
2014-11,79,19,26
2014-12,69,17,25
2015-01,74,21,26
2015-02,81,21,28
2015-03,85,21,29
2015-04,82,22,31
2015-05,76,22,30
2015-06,79,22,31
2015-07,72,22,31
2015-08,72,26,31
2015-09,82,31,35
2015-10,82,29,37
2015-11,81,26,40
2015-12,70,26,37
2016-01,74,29,37
2016-02,86,30,41
2016-03,84,30,45
2016-04,84,30,45
2016-05,82,32,45
2016-06,80,31,47
2016-07,72,30,43
2016-08,71,33,46
2016-09,84,40,53
2016-10,82,38,57
2016-11,88,39,63
2016-12,75,38,62
2017-01,83,46,70
2017-02,88,48,74
2017-03,94,51,81
2017-04,88,48,82
2017-05,86,51,86
2017-06,81,49,89
2017-07,76,49,84
2017-08,76,54,86
2017-09,85,59,95
2017-10,90,60,100
